"PlatformPortfolio","gfe_gfp_value","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Ordnance and Missiles","No Government Furnished",14132897316.1602,14836131495.5777,14487237729.9251,11309226753.9643,13140600348.2012,11180980332.8273,8607256175.2913,7800029525.0778,7878282970.4983,5479670777.0332,6319445807.3215,6530936191.2698,8296100068.8118,10662992505.3689,13473908365.3395,18318905031.7126,15427658064.3062,12427997512.4856
"Ordnance and Missiles","Transaction uses
Government Furnished
Equipment or Property",1411138,13797110.6,552016730.3331,6632056812.6064,6065574674.3371,6733573000.9535,8065641527.93,7620525164.2324,7801651207.4565,7560388822.7915,6258630209.1308,6723271161.0548,8185587058.974,7389182178.1739,8232348135.9642,8393133752.2779,13025890496.5045,10804638457.4217
"Other Products","No Government Furnished",18316466295.3947,31831123497.5399,34626492616.2251,34205273820.4085,39059233766.6921,35506566848.8975,28457194247.2416,29412593174.7624,34691167673.0928,26086193441.3276,23775736831.3964,20869935632.4437,18945400412.6737,21176901486.1133,24964896014.5255,22781151171.4744,25182398970.7999,52937276594.0839
"Other Products","Transaction uses
Government Furnished
Equipment or Property",,730287,9159555,78359068.2663,42492150.9792,82239795.776,664342112.3138,594413989.1176,666664553.3593,377863413.1177,492120069.8717,199175159.4845,460849251.2057,399670577.1371,418502078.755,431480209.858,344790849.6357,563526890.3876
"Other R&D and Knowledge Based","No Government Furnished",21054778217.1349,25709903547.9142,28673515536.8519,27410135371.4696,31396218138.7578,35093053057.9278,33030833692.5894,32159160784.2218,33952624461.7515,28038582673.735,27319273774.9251,27674650506.062,27737312826.139,29054545799.65,33104912697.2032,37417974404.2718,38459592465.7972,37569445501.0957
"Other R&D and Knowledge Based","Transaction uses
Government Furnished
Equipment or Property",13790775.8135,66483072.2617,356867281.3218,3122764475.1535,2621874329.4973,3651682414.3395,7144226539.5174,7781916343.4195,6315677915.4688,6024926301.1845,6277069138.9042,5593937039.6991,5736864862.3766,5706557229.9539,5605226973.1682,5212317849.5175,5815814992.9685,5636221497.7588
"Other Services","No Government Furnished",20088531828.0342,22168731588.6143,23930238025.7871,19416479664.8663,21125719484.042,24964055575.8671,23743531682.5754,27171266832.1055,27597165464.2513,23881568629.2557,22137910507.241,19810249761.552,20769343774.5935,22468713570.988,23879048999.2138,25283590901.4588,25473272619.9222,25744695472.5133
"Other Services","Transaction uses
Government Furnished
Equipment or Property",21248960,44219749.7485,308598800.4073,5081114878.5883,6342242142.2705,5759676058.343,9284292908.7222,9621403509.7357,6266987530.6327,6773379218.3802,3519650313.0897,3153774671.1668,3059774123.21,3749056130.1624,4723621919.6588,4333283570.2226,4016308846.6022,3068264290.8324
"Ships & Submarines","No Government Furnished",14842175207.1636,14025404835.3106,16528738056.6301,14712398541.4759,16174376329.7558,20023056258.2369,12704435282.7411,14235088302.7306,18146073423.2143,17705281569.5806,18344938005.7441,19810130270.0454,18374063658.012,22491167643.1966,26279128763.4954,26831134284.6948,29287215434.4305,29109689322.8746
"Ships & Submarines","Transaction uses
Government Furnished
Equipment or Property",46500,13350698.82,290898721.8597,2540099705.6105,3178699739.3139,1478405479.3772,4857447851.6472,14154482960.8027,5677444112.7035,5345996957.6803,5482488367.3254,1668094945.873,6278595565.7527,4716749721.9037,5030601323.0325,6474667372.4422,10735001894.2452,4424586023.7751
"Space Systems","No Government Furnished",6125471425.1602,6383450249.2656,7782232576.5679,7116308705.4182,9146632235.5989,9158395922.7754,7114955115.9159,6373048501.5832,7484473171.7181,4389926599.1559,6356123005.282,4941665787.4435,4528238752.5543,5189532543.9162,5017343356.1538,5786997858.9064,6697121418.4302,8375349942.1418
"Space Systems","Transaction uses
Government Furnished
Equipment or Property",1206718,0,101451513,952929535.8155,278186219.7179,1095835776.69,1974412291.4773,3925353208.4193,2464857204.7757,3181253070.1935,1493362528.5831,1021396732.055,1547626961.7279,861045834.8581,928331253.9988,1432159286.2295,544519204.4865,358349399.2802
"Unlabeled","No Government Furnished",6946308.0013,3246654.1223,109748294.8077,1268209.27,367089.4443,1008435.4834,-252447.358,-137139.4013,-6477.8001,-99723.1206,,30000,3581529.4308,1345607,-212795.3672,465885,314555.625,386316
"Unlabeled","Transaction uses
Government Furnished
Equipment or Property",131887.7813,555982,,16779375.7799,953.774899999989,-22267.3501,-1472.3,-3685.7,,,,,,,,,0,
