Description_of_Requirement,Remotely_Crewed,UAS,mq,rq,any_uas,CUAS,Maritime
"NATIONAL INTEREST ACTION: COVID-19-2020
REIMBURSEMENT OF 2020 CARES ACT FUNDING OF $1,902.36 FOR COVID-19 CLEANING AND SANITIZATION FOR TSA CHECKPOINT SPACES AT JFK TERMINAL 1.",,,,,,,
THE PURPOSE OF THIS OTHER TRANSACTION AGREEMENT IS TO ESTABLISH THE TERMS AND CONDITIONS FOR THE USE OF SPACE AND OBLIGATE FUNDING FOR THE REIMBURSEMENT OF FIXED ELECTRICAL COSTS AT THE CYRIL E. KING INTERNATIONAL AIRPORT (STT).,,,,,,,
"NATIONAL INTEREST ACTION: COVID-19-2020 
THE PURPOSE OF MODIFICATION P00001 IS TO EXTEND THE PERIOD OF PERFORMANCE AND OBLIGATE SUPPLEMENTAL FUNDING FOR COVID-19 CLEANING AND SANITIZATION FOR TSA CHECKPOINTS AT LAGUARDIA AIRPORT TERMINAL B.",,,,,,,
"AIRPORT REIMBURSEMENT OF COVID-19 CLEANING AND SANITIZATION ACTIVITIES IN ACCORDANCE WITH ENHANCED CLEANING REQUIREMENTS CHECKLIST FOR CHECKPOINT SCREENING AREAS AND ADMINISTRATIVE SPACE. START DATE OCTOBER 1, 2020 - JUNE 30, 2021.",,,,,,,
THE PURPOSE OF OTA NO. 70T01020T9NCKP024 P00002 IS TO EXTEND THE PERIOD OF PERFORMANCE AND OBLIGATE SUPPLEMENTAL FOR THE REIMBURSEMENT OF COVID-19 JANITORIAL CLEANING.,,,,,,,
OBLIGATE SUPPLEMENTAL FUNDING TO REIMBURSE SACRAMENTO INTERNATIONAL AIRPORT FOR THE COST TO CLEAN AND SANITIZE THE TSA CHECKPOINT AREAS AT SACRAMENTO INTERNATIONAL AIRPORT AS REQUIRED BY LOCAL AND STATE HEALTH AUTHORITIES AND THE CDC FOR COVID-19.,,,,,,,
UNILATERAL MOD.P00001 IS TO EXTEND THE POP OF OTHER TRANSACTION AGREEMENT (OTA)70T01019T9NAFN002 FOR 12 MONTHS AND OBLIGATE FUNDING FOR THE REIMBURSEMENT OF PARKING SERVICES PROVIDED BY DENVER INTERNATIONAL AIRPORT FOR TSA EMPLOYEES.,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO OBLIGATE ADDITIONAL FUNDING FOR THE REIMBURSEMENT OF PARKING PASSES AT DENVER INTERNATIONAL AIRPORT (DEN).,,,,,,,
CHECKED BAGGAGE FACILITY MODIFICATION OTA AT TERMINAL ONE OF NEWARK LIBERTY INTERNATIONAL AIRPORT (EWR) TO INSTALL A NEW IN-LINE CHECKED BAGGAGE INSPECTION SYSTEM (CBIS),,,,,,,
THE PURPOSE OF THIS OTA IS TO ESTABLISH THE TERMS AND CONDITIONS FOR THE USE OF SPACE AND OBLIGATE FUNDING FOR THE REIMBURSEMENT OF FIXED ELECTRICAL COSTS AT THE TSA SECURITY CHECKPOINT AND BAGGAGE SCREENING AREAS AT QUINCY REGIONAL AIRPORT.,,,,,,,
THIS OTHER TRANSACTION AGREEMENT (OTA) ESTABLISHES THE TERMS AND CONDITIONS FOR THE REIMBURSEMENT OF FIXED ELECTRICAL COSTS AT THE TSA SECURITY CHECKPOINT AND BAGGAGE SCREENING AREAS AT SACRAMENTO INTERNATIONAL AIRPORT (SMF).,,,,,,,
"NATIONAL INTEREST ACTION: COVID192020
MODIFICATION TO FUND AND EXTEND PERIOD OF PERFORMANCE TO SEPTEMBER 30, 2021 FOR COVID19 CLEANING.",,,,,,,
COVID-19 REIMBURSEMENT,,,,,,,
THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE AND OBLIGATE SUPPLEMENTAL FUNDING FOR THE REIMBURSEMENT OF COVID 19 CLEANING SERVICES AT LAGUARDIA AIRPORT.,,,,,,,
"NATIONAL INTEREST ACTION: COVID192020
THE PURPOSE OF THIS OTHER TRANSACTIONAL AGREEMENT IS TO REIMBURSE NORTHWEST ALABAMA REGIONAL AIRPORT FOR COVID19 CLEANING.",,,,,,,
"THE PURPOSE OF MODIFICATION P00001 IS TO EXTEND THE POP OF THIS OTA FROM DECEMBER 18, 2020 TO DECEMBER 18, 2021.",,,,,,,
UTILITY CONSUMPTION REIMBURSEMENT AND COVID-19 CLEANING AT BURBANK GLENDALE PASADENA AIRPORT (BUR).,,,,,,,
"EXTEND THE PERIOD OF PERFORMANCE FOR THE CLEANING AND SANITATION OF THE TSA CHECKPOINT AREAS AT BURBANK BOB-HOPE AIRPORT (BUR) IN RESPONSE TO COVID-19 FROM JULY 1, 2021 TO SEPTEMBER 30, 2021.",,,,,,,
MODIFICATION P00001 TO 70T01020T9NCKP024 EXTENDS THE PERIOD OF PERFORMANCE AND OBLIGATES FUNDING FOR THE REIMBURSEMENT FOR FIXED ELECTRICAL COST FOR THE TSA SECURITY CHECKPOINT AND BAGGAGE.,,,,,,,
EXERCISE OPTION PERIOD 1 TO FUND ELECTRICAL CONSUMPTION AT GAINESVILLE AIRPORT.,,,,,,,
THE PURPOSE OF MODIFICATION P00001 IS FOR REIMBURSEMENT OF ELECTRICAL COSTS AT CYRIL E. KING AIRPORT FOR A PERIOD BETWEEN 7/1/21 - 6/30/22.,,,,,,,
THIS MODIFICATION IS FOR ELECTRIC SERVICES AND CORRECT OBJECT CLASS FROM 254011 TO 233041.,,,,,,,
THE PURPOSE OF MODIFICATION P00002 IS TO REIMBURSE COVID-19 CLEANING COSTS AT CYRIL E KING AIRPORT FOR A PERIOD BETWEEN 3/24/2020 THROUGH 6/2/21.,,,,,,,
THE PURPOSE OF MODIFICATION P00003 IS TO EXTEND THE PERIOD OF PERFORMANCE BY 12-MONTHS AND OBLIGATE FUNDING FOR PARKING SERVICES AT DENVER INTERNATIONAL AIRPORT (DEN).,,,,,,,
OTHER TRANSACTION AGREEMENT FOR THE PREDESIGN EFFORT FOR THE RECAPITALIZATION PROJECT AT DCA AIRPORT.,,,,,,,
THE PURPOSE OF THIS OTHER TRANSACTION AGREEMENT IS TO ESTABLISH THE TERMS AND CONDITIONS AND OBLIGATE FUNDING FOR THE REIMBURSEMENT OF ELECTRICAL COSTS AT GENERAL WAYNE A. DOWNING PEORIA INTERNATIONAL AIRPORT (PIA) FOR A PERIOD OF 9/1/21 - 8/31/22.,,,,,,,
"THE PURPOSE OF THIS OTHER TRANSACTION AGREEMENT IS TO ESTABLISH
THE TERMS AND CONDITIONS TO OBLIGATE FUNDING FOR ELECTRICAL
CONSUMPTION AT SAVANNAH INTERNATIONAL AIRPORT FOR A PERIOD
BETWEEN 9/1/21 THROUGH 8/31/22.",,,,,,,
"THE PURPOSE OF THIS OTA IS TO SUPPORT DALLAS-FORT WORTH INTERNATIONAL AIRPORT (DFW) ON THE INSTALLATION OF MSEDS UNITS IN FOUR TERMINALS A, B, C, AND D, THAT REQUIRE RECAPITALIZATION AT DFW.",,,,,,,
OTA FOR PREDESIGN EFFORT FOR THE RECAPITALIZATION OF THE MSEDS IN THE NORTH TERMINAL OF MIA.,,,,,,,
"OTHER TRANSACTION AGREEMENT TO SUPPORT CHECK POINT PROPERTY
SCREENING SYSTEM PROGRAM TESTING OF COMPUTED TOMOGRAPHY (BASE-SIZE CONFIGURATION)",,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO UPDATE AN AIRPORT TESTING SITE, AT NO COST TO THE GOVERNMENT. ALL OTHER TERMS AND CONDITIONS REMAIN THE SAME.",,,,,,,
FACILITY MODIFICATION OTA TO SUPPORT RECAPITALIZATION AND OPTIMIZATION OF THE BAGGAGE SCREENING SYSTEMS AT GEORGE BUSH INTERCONTINENTAL AIRPORT (IAH) - TERMINAL A,,,,,,,
REIMBURSE THE FIXED ELECTRICAL COSTS AT THE TSA SECURITY CHECKPOINT AND BAGGAGE AREA AT QUINCY REGIONAL AIRPORT (UIN).,,,,,,,
REIMBURSEMENT OF FIXED ELECTRICAL COSTS FOR THE TRANSPORTATION SECURITY ADMINISTRATION (TSA) SECURITY CHECKPOINT AND BAGGAGE SCREENING AREAS AT SACRAMENTO INTERNATIONAL AIRPORT (SMF).,,,,,,,
THE PURPOSE OF THIS OTHER TRANSACTION AGREEMENT IS TO ESTABLISH THE TERMS AND CONDITIONS TO OBLIGATE FUNDING FOR FIXED ELECTRICAL COSTS AT MANCHESTER - BOSTON REGIONAL AIRPORT FOR A PERIOD OF 10/1/2021 - 9/30/2022.,,,,,,,
THE PURPOSE OF THIS OTHER TRANSACTION AGREEMENT IS TO ESTABLISH THE TERMS AND CONDITIONS TO OBLIGATE FUNDING FOR ELECTRICAL CONSUMPTION AT PUNTA GORDA AIRPORT FOR A PERIOD OF PERFORMANCE OF 10/1/2021 - 9/30/2022.,,,,,,,
EXTEND THE PERIOD OF PERFORMANCE OF OAT 70T01020T9NCKP016 FROM 01/01/2022 TO 12/31/2022AND FOR THE REIMBURSEMENT OF FIXED ELECTRICAL COSTS FOR THE TSA SECURITY CHECKPOINT AND BAGGAGE AREA AT BURBANK BOB-HOPE AIRPORT.,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE TERM END DATE FROM AUGUST 29, 2021 TO FEBRUARY 28, 2023, AT NO ADDITIONAL COST TO THE GOVERNMENT.",,,,,,,
THE PURPOSE OF THIS AGREEMENT IS TO FORMALLY TEST AND EVALUATE THE QPL APPLICANT'S SCREENING SYSTEM IN ORDER TO DETERMINE IF THE PROPOSED SYSTEM MEETS TSA'S QUALIFICATION REQUIREMENTS.,,,,,,,
THIS IS AN OTA BETWEEN TSA AND ACAA TO SUPPORT REPLACEMENT OF FOUR (4) TECHNICALLY OBSOLETE ELECTRONIC DETECTION SYSTEMS (EDS) MACHINES AND ANCILLARY EQUIPMENT AT PITTSBURGH INTERNATIONAL AIRPORT (PIT).,,,,,,,
RECAPITALIZATION OF FOUR (4) CTX9000/9400 MEDIUM SPEED EXPLOSIVE DETECTION SYSTEMS (MSEDS) IN THE CHECKED BAGGAGE INSPECTION SYSTEM (CBIS) SERVING TERMINAL 5 AT LOS ANGELES INTERNATIONAL AIRPORT (LAX).,,,,,,,
THIS IS A FACILITY MODIFICATION OTA FOR THE TED STEVENS ANCHORAGE INTERNATIONAL AIRPORT (ANC) TO REPLACE FOUR (4) EXPLOSIVE DETECTION SYSTEMS (EDS) IN CONCOURSE B AND ONE (1) EDS IN THE NORTH TERMINAL AT THE CBIS.,,,,,,,
THE PURPOSE OF THIS AGREEMENT IS TO FORMALLY TEST AND EVALUATE THE QPL APPLICANTS SCREENING SYSTEM AS PART OF THE CHECKPOINT PROPERTY SCREENING SYSTEM.,,,,,,,
MAIN TERMINAL BUILDING INFRASTRUCTURE FOR THE TSA EXPLOSIVE DETECTION SYSTEMS LOCATED WITHIN THE CHECKED BAGGAGE INSPECTION SYSTEM AND SUPPORTS THE INSTALLATION OF THE NEW CHECKED BAGGAGE INSPECTION SYSTEM.,,,,,,,
FACILITY MODIFICATION PROJECT AT THE RALEIGH-DURHAM AIRPORT FOR CONSTRUCTION SERVICES FOR THE TSA REQUIRED UPGRADES TO THE SPEED EXPLOSIVES DETECTION SYSTEM UNITS THAT ARE PART OF THE CHECKED BAGGAGE INSPECTION SYSTEM AT TERMINALS D AND E.,,,,,,,
THIS OTA IS FOR THE FACILITY MODIFICATION PROJECT AT PHILADELPHIA INTERNATIONAL AIRPORT TO ENSURE THE AIRPORT IS ABLE TO SCREEN ALL CHECKED BAGGAGE WITH AN EXPLOSIVES DETECTION SYSTEM OR SUITABLE ALTERNATIVE AS FEDERALLY MANDATED.,,,,,,,
THE PURPOSE OF THIS COMBINED OTA IS TO SUPPORT CHICAGO OHARE INTERNATIONAL AIRPORT(ORD)ON THE REPLACEMENT OF 3 EXPLOSIVE DETECTION SYSTEM(EDS)UNITS.,,,,,,,
THIS IS A FACILITY MODIFICATION OTA FOR THE MISSOULA INTERNATIONAL AIRPORT (MSO) TO CONSTRUCT A NEW IN-LINE CHECKED BAGGAGE INSPECTION SYSTEM (CBIS) AT THE MAIN TERMINAL.,,,,,,,
NEW DESIGN OTA FOR JFK TERMINAL 5.,,,,,,,
"THIS IS A FACILITY MODIFICATION OTA FOR THE RECAPITALIZATION OF FIVE CTX9000/9400 MEDIUM SPEED EXPLOSIVE DETECTION SYSTEMS (MSEDS) IN TERMINALS A, B, AND C AT SPOKANE INTERNATIONAL AIRPORT (GEG).",,,,,,,
THIS IS A FACILITY MODIFICATION OTA FOR THE RECAPITALIZATION OF THE EXISTING IN-LINE CHECKED BAGGAGE INSPECTION SYSTEM AT SAIPAN INTERNATIONAL AIRPORT (GSN).,,,,,,,
DESIGN OTA FOR MELBOURNE INTERNATIONAL AIRPORT (MLB),,,,,,,
THE PURPOSE OF THIS OTA IS TO ESTABLISH THE RESPECTIVE COST-SHARING OBLIGATIONS AND RESPONSIBILITIES OF THE TSA AND THE CITY OF BURLINGTON WITH RESPECT TO THE DESIGN SERVICES NECESSARY TO CONSTRUCT AN INLINE CBIS UTILIZING EDS AT THE AIRPORT.,,,,,,,
FACILITY MODIFICATION OTA FOR THE RECAPITALIZATION OF THE EXISTING CHECKED BAGGAGE INSPECTION SYSTEM IN TERMINALS 2 AND 4.,,,,,,,
DESIGN OTA FOR CYRIL E. KING INTERNATIONAL AIRPORT (STT),,,,,,,
"FACILITY MODIFICATION OTA FOR THE RECAPITALIZATION OF THE EXISTING IN-LINE CHECKED BAGGAGE INSPECTION SYSTEM (CBIS) IN TERMINALS A, B, AND C AT DALLAS/FORT WORTH INTERNATIONAL AIRPORT.",,,,,,,
THE PURPOSE OF THIS NEW OTA IS TO DESIGN AND INSTALL A NEW IN-LINE CBIS AT PUNTA GORDA INTERNATIONAL AIRPORT (PGD).,,,,,,,
THE PURPOSE OF THIS OTA IS TO SUPPORT THE DESIGN OF A CHECK BAGGAGE INLINE SYSTEM (CIBS) AT BLUE GRASS AIRPORT (LEX).,,,,,,,
"FACILITY MODIFICATION OTA FOR THE CONSTRUCTION OF A NEW IN-LINE CHECKED BAGGAGE INSPECTION SYSTEM TIE-IN FOR TERMINAL 2, LOBBY 6 AT HNL.",,,,,,,
THE PURPOSE OF THIS FACMOD OTA IS TO SUPPORT JOHN F. KENNEDY INTERNATIONAL AIRPORT (JFK) ON THE RECAPITALIZATION AND OPTIMIZATION OF THE CHECKED BAGGAGE INSPECTION SYSTEMS (CBIS).,,,,,,,
THE PURPOSE OF THIS OTHER TRANSACTION AGREEMENT (OTA) IS TO AWARD A FACILITY MODIFICATION OTA TO DENVER INTERNATIONAL AIRPORT (DEN) FOR CONSTRUCTION SERVICES AT THE MAIN TERMINAL.,,,,,,,
COLLABORATION WITH THE MET OFFICE OF THE UNITED KINGDOM FOR WEATHER PRODUCTS AND WEATHER DATA FOR DEFENSE/METEOROLOGICAL RELATED ACTIVITIES.,,,,,,,
THIS IS A FACILITY MODIFICATION OTA TO SUPPORT THE CONSTRUCTION OF A NEW CHECKED BAGGAGE INSPECTION SYSTEM (CBIS) IN KANSAS CITY INTERNATIONAL AIRPORT (MCI) NEW TERMINAL.,,,,,,,
CLOSEOUT,,,,,,,
DESIGN SERVICES NECESSARY TO EVALUATE CHECKED BAGGAGE INSPECTION SYSTEM REFRESH AND OPTIMIZATION,,,,,,,
THIS A MODIFICATION TO AN EXISTING TSA OTHER TRANSACTION AGREEMENT WITH THE METROPOLITAN NASHVILLE AIRPORT AUTHORITY FOR THE PURPOSES OF INSTALLING AN INLINE BAGGAGE SCREENING SYSTEM TO THE AIRPORT TERMINAL WHICH INVOLVES MODIFICATIONS TO THE EXISTING BUILDING INFRASTRUCTURE AND BAGGAGE HANDLING SYSTEM.,,,,,,,
CONSTRUCTION OF MODIFICATIONS NEEDING TO BE MADE TO THE AIRPORT TERMINAL BUILDING AND ITS HAGGAGE HANDLING SYSTEMS IN ORDER FOR THE TSA TO INSERT EXPLOSIVE DETECTION SYSTEM UNITS INTO THE CHECKED BAGGAGE INSPECTION SYSTEM (CBIS) FOR AN AUTOMATED BAGGAGE INSPECTION SYSTEM.,,,,,,,
MODIFICATION TO CHANGE THE PLANNING GUIDELINES AND DESIGN STANDARDS REQUIREMENT FROM VERSION 2.0 TO VERSION 3.0.,,,,,,,
"DESIGN AND IMPLEMENTATION OF MODIFICATIONS TO THE BAGGAGE HANDLNG SYSTEM AT THE SAN FRANCISCO INTERNAITONAL AIRPORT TERMINALS TO INCLUDE CROSSOVERS, MAINTENANCE ACCESS, CRANE HOISTS AND LIGHTING TO SUPPORT A SAFER WORK ENVIRONMENT FOR TSA CHECKED BAGGAGE INSPECTION SYSTEM OPERATIONS.",,,,,,,
DESIGN AND CONSTRUCTION OF MODIFICATIONS NEEDED TO BE MADE TO THE AIRPORT TERMINAL BUILDING AND BAGGAGE HANDLING SYSTEM IN ORDER FOR TSA TO INSERT AN EXPLOSIVE DETECTION SYSTEM UNITS INTO THE CHECKED BAGGAGE INSPECTION SYSTEM FOR AN AUTOMATED INLINE BAGGAGE SCREENING SYSTEM SOLUTION.,,,,,,,
IMPLEMENTATION OF HARDWARE/SOFTWARE MODIFICATIONS TO BE MADE TO THE EXISTING CHECKED BAGAGGE INSPECTION SYSTEM AND BAGGAGE CONVEYOR SYSTEM AT TERMINAL A OF THE SACRAMENTO INTERNATIONAL AIRPORT.,,,,,,,
A&E DESIGN OF AN INLINE CHECKED BAGGAGE INSPECTION SYSTEM TO BE INSTALLED IN THE GERALD R FORD INTERNATIONAL AIRPORT TERMINAL BUILDING. THE EFFORT WILL INVOLVE MODIFICATIONS TO THE EXISTING BAGGAGE CONVEYOR SYSTEM AND AIRPORT TEMRMINAL BUIDLING INFRASTRUCTURE IN ORDER FOR THE TSA TO INSERT AN AUTOMATED INLINE CHECKED BAGGAGE INSPECTION SYSTEM.,,,,,,,
THE PURPOSE OF THIS MODIFICATION P00001 IS TO EXTEND THE PERIOD OF PERFORMANCE TO 03/31/2012.,,,,,,,
PERIOD OF PERFORMANCE EXTENSION FOR EDS INSTALLATION FOR CBIS AT LGA TERMINALS D AND E.,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE TO 8/28/12.,,,,,,,
"THE PURPOSE OF MODIFICATION P00001 TO HSTS04-11-H-CT1004 IS TO EXTEND THE PERIOD OF PERFORMANCE TO AUGUST 31, 2012 FROM DECEMBER 31, 2011.",,,,,,,
ADMIN MOD TO PHL OTA FOR PGDS COMPLIANCE ISSUES.,,,,,,,
"MODIFICATION TO EXTEND THE PERIOD OF PERFORMANCE OF THE OTHER TRANSACTION AGREEMENT UNTIL SEPTEMBER 30, 2012 AT NO ADDITIONAL COST TO THE GOVERNMENT.",,,,,,,
"THE OTHER TRANSACTION AGREEMENT (OTA) WITH CHICAGO DEPARTMENT OF AVIATION PROVIDES FUNDING TO ENHANCE THE CHECKED BAGGAGE INSPECTION SYSTEM (CBIS) AT CHICAGO INTERNATIONAL AIRPORT.  THE PROJECT INVOLVES SIGNIFICANT MODIFICATIONS TO THE EXISTING CBIS AT TERMINAL 1, 3, AND 5 TO ENHANCE SECURITY AND EFFICIENCY OF BAGGAGE SCREENING IN ACCORDANCE WITH THE TSA PLANNING GUIDELINES AND DESIGN STANDARDS (PGDS) VERSION 4.0.",,,,,,,
PERIOD OF PERFORMANCE EXTENSION FOR THE CHECKED BAGGAGE INSPECTION SYSTEM EXPLOSIVE DETECTION PROJECT AT COLUMBUS REGIONAL AIRPORT.,,,,,,,
"THE PURPOSE OF THIS MODIFICATION P00002 IS TO EXTEND THE PERIOD OF PERFORMANCE TO DECEMBER 31, 2012.",,,,,,,
"THE PURPOSE OF MODIFICATION P00002 TO HSTS04-11-H-CT1004 IS TO EXTEND THE PERIOD OF PERFORMACE TO DECEMBER 31,2012 FROM AUGUST 31,2012.",,,,,,,
UNILATERAL ADMINISTRATIVE CHANGE TO UPDATE POINT OF CONTACT INFORMATION FOR TSA CONTRACTING OFFICER AND TSA CONTRACTING OFFICER'S REPRESENTATIVE.,,,,,,,
DESIGN AND CONSTRUCTION ASSISTANCE TO SUPPORT NEW AIRPORT TERMINAL WHICH INCLUDES BAGGAGE HANDLING SYSTEM WHICH TSA WILL INSERT EXPLOSIVE DETECTION SYSTEM UNITS INTO THE CHECKED BAGGAGE INSPECTION SYSTEM (CBIS) TO COMPLY WITH AND CARRY OUT THE MISSION OF THE TSA.,,,,,,,
TO PROVIDE FUNDING TO BURBANK-GLENDALE-PASADENA AIRPORT AUTHOIRTY TO MODIFY THREE CHECKED BAGGAGE RESOLUTION AREAS (CBRAS) AT BOB HOPE AIRPORT (BUR).,,,,,,,
ADDITIONAL FUNDING TO BRING THE PROJECTED CHECKED BAGGAGE INSPECTIONS SYSTME AT TERMINAL 1 OF THE CHICAGO O'HARE INTERNATIONAL AIRPORT INTO COMPLIANCE WITH THE TSA PLANNING GUIDELINES AND DESIGN STANDARDS.  REQUIRES MODIFICATION TO EXSITING TERMINAL 1 BUILDING AND BAGGAGE HANDLING SYSTEM.,,,,,,,
"OTHER TRANSACTION AGREEMENT BETWEEN TSA AND THE MINNEAPOLIS-MACS TO PROVIDE FUNDING TO DESIGN AND MODIFY AN EXISTING IN-LINE SYSTEM AT THE MINNEAPOLIS-ST. PAUL AIRPORT, LINDBERGH TERMINAL.",,,,,,,
"THE PURPOSE OF MODIFICATION P00003 TO HSTS04-11-H-CT1004 IS TO EXTEND THE PERIOD OF PERFORMACE TO MARCH 31,2013 FROM DECEMBER 31,2012, CHANGE THE CONTRACTING OFFICER AND CONTRACTING OFFICER'S TECHNICAL REPRESENTATIVE, AND AMEND PAYMENT INFORMATION.",,,,,,,
THE PURPOSE OF THIS MODIFICATION P00001 IS TO CHANGE THE CO AND COTR INFORMATION.,,,,,,,
"THE PURPOSE OF THIS MODIFICATION P00001 IS TO ESTABLISH THE BEGINNING DATE TO RECOGNIZE REIMBURSABLE COST FOR THE TSA PROJECT AS JUNE 1, 2010.",,,,,,,
THE PURPOSE OF THIS MODIFICATION P0002 IS TO CHANGE THE CO AND COTR INFORMATION.,,,,,,,
"THE PURPOSE OF THIS MODIFICATION P00007 TO THIS OTHER TRANSACTION AGREEMENT IS TO: (1)
INCREASE THE TOTAL ESTIMATED VALUE OF THE COST SHARING AGREEMENT FROM $39,086,183.00 TO
$51,365,938.28, INCREASE THE TOTAL ESTIMATED GOVERNMENT COST SHARING CONTRIBUTION FROM
$24,908,413.00 TO $29,043,269.41, AND INCREASE THE TOTAL ESTIMATED CONTRACTOR COST SHARING
CONTRIBUTION FROM $14,177,770.00 TO $22,322,668.87; (2) OBLIGATE $3,015,801.00 AS PARTIAL FUNDING FOR OPTION 3; AND (3) INCORPORATE REVISED TEXT FOR ARTICLE IV. B. SCHEDULE OF PAYMENTS AND PAYABLE MILESTONES DATED AUGUST 31, 2011.",,,,,,,
THIS OTA ESTABLISHES THE RESPECTIVE COST-SHARING OBLIGATIONS OF THE TSA AND THE RTAA WITH RESPECT TO THE CONSTRUCTION PROJECT FOR THE NEW CENTRALIZED SECURITY SCREENING CHECKPOINT AT RNO. THE OBJECTIVE OF THE PROJECT IS TO ENHANCE AIRPORT SECURITY AND CHECKPOINT SCREENING CAPABILITIES AND PROVIDE TSA WITH A FACILITY THAT WILL FUNCTION AS A TEST BED LOCATION FOR FUTURE SECURITY EQUIPMENT TESTING PROJECTS.,,,,,,,
CLOSEOUT MODIFICATION.,,,,,,,
MODIFICATION P00001 IS ISSUED TO EXTEND THE PERIOD OF PERFORMANCE TO ALLOW FOR TESTING AND ACCEPTANCE AT BIRMINGHAM SHUTTLESWORTH INTERNATIONAL AIRPORT.  THIS MODIFICATION ALSO CHANGES THE TSA POINTS OF CONTACT.,,,,,,,
THE PURPOSE OF THIS MODIFICATION TO CHANGE THE CO AND COTR INFORMATION,,,,,,,
DESIGN SERVICES NECCESSARY TO PLACE NEW EXPLOSIVE DETECTION SYSTEMS (EDS) IN TSA CHECKED BAGGAGE INSPECTION SYSTEMS IN THE TERMINALS OF THE SAN FRANCISCO INTERNATIONAL AIRPORT,,,,,,,
DESIGN AND CONSTRUCTION MODIFICATIONS NEEDED TO BE MADE TO THE AIRPORT TERMINAL BUILDING AND BAGGAGE HANDLING SYSTEM IN ORDER FOR TSA TO INSERT THE EXPLOSIVE DETECTION SYSTEM UNITS INTO THE CHECKED BAGGAGE INSPECTION SYSTEM.  TSA IS PROVIDING FINANCIAL ASSISTANCE TO EXPAND THE TERMINAL SO THAT THE CBIS CAN BE INSTALLED IN ACCORDANCE WITH TSA'S MISSION.,,,,,,,
OTA FOR MFE FOR IMPROVED SCREENING AT THIS AIRPORT.,,,,,,,
